web-scraper-order,web-scraper-start-url,links,links-href,Name,Number Of Vacancies,Salary,Age ,Experience,Qualification
"1758008887-1","https://jobyaari.com/category/engineering?type=graduate","Multipurpose Assistant
                    
                      
                        
                          
                            Andhra Pradesh Medical Services Recruitment Board (APMSRB)                          
                          
                        
                        
                          
                             Unlock Now","https://jobyaari.com/jobdetails/2692","Andhra Pradesh Medical Services Recruitment Board (APMSRB)","1","Salary25000 / Month","30","Experience
                                  3+
                  Years","QualificationAny Degree"
"1758008895-2","https://jobyaari.com/category/engineering?type=graduate","Security
                    
                      
                        
                          
                            Central Council for Research in Ayurvedic Sciences (CCRAS)                          
                          
                        
                        
                          
                             Unlock Now","https://jobyaari.com/jobdetails/2659","Central Council for Research in Ayurvedic Sciences (CCRAS)","1","SalaryLevel 5, as per 7th CPC","30","Experience
                                  3+
                  Years","QualificationAny Degree"
"1758008902-3","https://jobyaari.com/category/engineering?type=graduate","Upper Division Clerk
                    
                      
                        
                          
                            Central Council for Research in Ayurvedic Sciences (CCRAS)                          
                          
                        
                        
                          
                             Unlock Now","https://jobyaari.com/jobdetails/2650","Central Council for Research in Ayurvedic Sciences (CCRAS)","39","SalaryLevel 4, as per 7th CPC","27","Experience
                Fresher","QualificationAny Degree"
"1758008909-4","https://jobyaari.com/category/engineering?type=graduate","Assistant
                    
                      
                        
                          
                            Central Council for Research in Ayurvedic Sciences (CCRAS)                          
                          
                        
                        
                          
                             Unlock Now","https://jobyaari.com/jobdetails/2638","Central Council for Research in Ayurvedic Sciences (CCRAS)","13","SalaryLevel 6, as per 7th CPC","30","Experience
                Fresher","QualificationAny Degree"
"1758008916-5","https://jobyaari.com/category/engineering?type=graduate","Office Assistants
                    
                      
                        
                          
                            Institute of Banking Personnel Selection (IBPS)                          
                          
                        
                        
                          
                             Unlock Now","https://jobyaari.com/jobdetails/2598","Institute of Banking Personnel Selection (IBPS)","7842","SalaryCheck Notification","18 - 28","Experience
                Fresher","QualificationAny Degree"
"1758008923-6","https://jobyaari.com/category/engineering?type=graduate","Customer Service Associate
                    
                      
                        
                          
                            Institute of Banking Personnel Selection (IBPS)                          
                          
                        
                        
                          
                             Unlock Now","https://jobyaari.com/jobdetails/2594","Institute of Banking Personnel Selection (IBPS)","10277","Salary24050 - 64480","20 - 28","Experience
                Fresher","QualificationAny Degree"
"1758008931-7","https://jobyaari.com/category/engineering?type=graduate","Trade Apprentice (Assistant- Human Resource)
                    
                      
                        
                          
                            Indian Oil Corporation Limited (IOCL)                          
                          
                        
                        
                          
                             Unlock Now","https://jobyaari.com/jobdetails/2584","Indian Oil Corporation Limited (IOCL)","537","SalaryCheck Notification","18 - 24","Experience
                Fresher","QualificationAny Degree"
"1758008938-8","https://jobyaari.com/category/engineering?type=graduate","शिक्षा विकास पदाधिकारी
                    
                      
                        
                          
                            Bihar Public Service Commission (BPSC)                          
                          
                        
                        
                          
                             Unlock Now","https://jobyaari.com/jobdetails/2576","Bihar Public Service Commission (BPSC)","935","Salary29200 / Month","21 - 37","Experience
                Fresher","QualificationAny Degree"
"1758008945-9","https://jobyaari.com/category/engineering?type=graduate","Stenographer Grade-‘D’
                    
                      
                        
                          
                            National Capital Region Planning Board (NCRPB)                          
                          
                        
                        
                          
                             Unlock Now","https://jobyaari.com/jobdetails/2419","National Capital Region Planning Board (NCRPB)","2","Salary25500 - 81100","28","Experience
                Fresher","QualificationAny Degree"
"1758008952-10","https://jobyaari.com/category/engineering?type=graduate","Stenographer Grade-‘C’
                    
                      
                        
                          
                            National Capital Region Planning Board (NCRPB)                          
                          
                        
                        
                          
                             Unlock Now","https://jobyaari.com/jobdetails/2418","National Capital Region Planning Board (NCRPB)","1","Salary44900 - 142400","28","Experience
                Fresher","QualificationAny Degree"
"1758008959-11","https://jobyaari.com/category/engineering?type=graduate","Assistant
                    
                      
                        
                          
                            Satluj Jal Vidyut Nigam Limited (SJVN)                          
                          
                        
                        
                          
                             Unlock Now","https://jobyaari.com/jobdetails/2070","Satluj Jal Vidyut Nigam Limited (SJVN)","10","Salary23000 / Month","30","Experience
                                  10+
                  Years","QualificationAny Degree"
"1758008966-12","https://jobyaari.com/category/engineering?type=graduate","Junior Executive
                              
                                
                                  
                                    
                                      Airport Authority of India                                    
                                
                              
                              
                                
                                   Unlock Now","https://jobyaari.com/jobdetails/1856","Airport Authority of India","976","Salary40000 / Month","27","Experience
                Fresher","QualificationB.E/B.Tech"
"1758008974-13","https://jobyaari.com/category/engineering?type=graduate","Laboratory Assistant (Cyber Forensics)
                              
                                
                                  
                                    
                                      Arunachal Pradesh Staff Selection Board (APSSB)                                    
                                
                              
                              
                                
                                   Unlock Now","https://jobyaari.com/jobdetails/1994","Arunachal Pradesh Staff Selection Board (APSSB)","1","Salary29200 - 92300","18 - 35","Experience
                Fresher","QualificationB.E/B.Tech"
"1758008981-14","https://jobyaari.com/category/engineering?type=graduate","Intern - Multimodal AI
                              
                                
                                  
                                    
                                      Indian Institute of Technology Mandi (IIT Mandi)                                    
                                
                              
                              
                                
                                   Unlock Now","https://jobyaari.com/jobdetails/2283","Indian Institute of Technology Mandi (IIT Mandi)","2","Salary15000 / Month","Check Notification","Experience
                Yes","QualificationB.E/B.Tech"
"1758008988-15","https://jobyaari.com/category/engineering?type=graduate","Senior Associate/Associate - Multimodal AI
                              
                                
                                  
                                    
                                      Indian Institute of Technology Mandi (IIT Mandi)                                    
                                
                              
                              
                                
                                   Unlock Now","https://jobyaari.com/jobdetails/2285","Indian Institute of Technology Mandi (IIT Mandi)","1","Salary75000 / Month","Check Notification","Experience
                                  3+
                  Years","QualificationB.E/B.Tech"
"1758008995-16","https://jobyaari.com/category/engineering?type=graduate","Management Trainee (EDP)/(Electrical)/(mining)/(Mechanical)/(Chemical)
                              
                                
                                  
                                    
                                      Uranium Corporation of India Limited (UCIL)                                    
                                
                              
                              
                                
                                   Unlock Now","https://jobyaari.com/jobdetails/2492","Uranium Corporation of India Limited (UCIL)","14","Salary40000 / Month","28","Experience
                Fresher","QualificationB.E/B.Tech"
"1758009002-17","https://jobyaari.com/category/engineering?type=graduate","Project Associate – I
                              
                                
                                  
                                    
                                      Anna University (AU Chennai)                                    
                                
                              
                              
                                
                                   Unlock Now","https://jobyaari.com/jobdetails/2508","Anna University (AU Chennai)","6","Salary30000 / Month","Check Notification","Experience
                Fresher","QualificationB.E/B.Tech"
"1758009010-18","https://jobyaari.com/category/engineering?type=graduate","Graduate Apprentices
                              
                                
                                  
                                    
                                      Indian Rare Earths Limited (IREL)                                    
                                
                              
                              
                                
                                   Unlock Now","https://jobyaari.com/jobdetails/2536","Indian Rare Earths Limited (IREL)","4","SalaryAcc to Rules","18 - 25","Experience
                Fresher","QualificationB.E/B.Tech"
"1758009017-19","https://jobyaari.com/category/engineering?type=graduate","Management Trainee (Mechanical/Electrical/Electronics/Naval Architecture/Robotics)
                              
                                
                                  
                                    
                                      Goa Shipyard Limited                                    
                                
                              
                              
                                
                                   Unlock Now","https://jobyaari.com/jobdetails/2550","Goa Shipyard Limited","30","SalaryCTC 11.65 Lacs","28","Experience
                Fresher","QualificationB.E/B.Tech"
"1758009024-20","https://jobyaari.com/category/engineering?type=graduate","Junior Project Executive – (Mechanical/Electrical/Electronics/Civil)
                              
                                
                                  
                                    
                                      Goa Shipyard Limited                                    
                                
                              
                              
                                
                                   Unlock Now","https://jobyaari.com/jobdetails/2553","Goa Shipyard Limited","30","Salary55000 / Month","32","Experience
                Fresher","QualificationB.E/B.Tech"
"1758009031-21","https://jobyaari.com/category/engineering?type=graduate","Junior Intelligence Officer-II/Tech
                              
                                
                                  
                                    
                                      Intelligence Bureau                                    
                                
                              
                              
                                
                                   Unlock Now","https://jobyaari.com/jobdetails/2579","Intelligence Bureau","394","Salary25500 - 81100","18 - 27","Experience
                Fresher","QualificationB.E/B.Tech"
"1758009038-22","https://jobyaari.com/category/engineering?type=graduate","Assistant Manager
                              
                                
                                  
                                    
                                      Institute of Banking Personnel Selection (IBPS)                                    
                                
                              
                              
                                
                                   Unlock Now","https://jobyaari.com/jobdetails/2612","Institute of Banking Personnel Selection (IBPS)","3907","SalaryCheck Notification","18 - 30","Experience
                Fresher","QualificationB.E/B.Tech"
"1758009046-23","https://jobyaari.com/category/engineering?type=graduate","Specialist Officers (Manager)
                              
                                
                                  
                                    
                                      Institute of Banking Personnel Selection (IBPS)                                    
                                
                              
                              
                                
                                   Unlock Now","https://jobyaari.com/jobdetails/2621","Institute of Banking Personnel Selection (IBPS)","286","SalaryCheck Notification","21 - 32","Experience
                                  1+
                  Years","QualificationB.E/B.Tech"
"1758009053-24","https://jobyaari.com/category/engineering?type=graduate","Senior Manager
                              
                                
                                  
                                    
                                      Institute of Banking Personnel Selection (IBPS)                                    
                                
                              
                              
                                
                                   Unlock Now","https://jobyaari.com/jobdetails/2629","Institute of Banking Personnel Selection (IBPS)","199","SalaryCheck Notification","21 - 40","Experience
                                  5+
                  Years","QualificationB.E/B.Tech"
"1758009060-25","https://jobyaari.com/category/engineering?type=graduate","General Banking Officer (Manager)
                              
                                
                                  
                                    
                                      Institute of Banking Personnel Selection (IBPS)                                    
                                
                              
                              
                                
                                   Unlock Now","https://jobyaari.com/jobdetails/2617","Institute of Banking Personnel Selection (IBPS)","824","SalaryCheck Notification","21 - 32","Experience
                                  2+
                  Years","QualificationB.E/B.Tech"
"1758009067-26","https://jobyaari.com/category/engineering?type=graduate","Data Manager
                              
                                
                                  
                                    
                                      Andhra Pradesh Medical Services Recruitment Board (APMSRB)                                    
                                
                              
                              
                                
                                   Unlock Now","https://jobyaari.com/jobdetails/2699","Andhra Pradesh Medical Services Recruitment Board (APMSRB)","1","Salary50000 / Month","40","Experience
                                  3+
                  Years","QualificationB.E/B.Tech"
"1758009074-27","https://jobyaari.com/category/engineering?type=graduate","Junior Engineer (Civil)
                              
                                
                                  
                                    
                                      VISVA BHARATI UNIVERSITY(VBU)                                    
                                
                              
                              
                                
                                   Unlock Now","https://jobyaari.com/jobdetails/2705","VISVA BHARATI UNIVERSITY(VBU)","1","SalaryLevel 6, as per 7th CPC","35","Experience
                                  1+
                  Years","QualificationB.E/B.Tech"
"1758009082-28","https://jobyaari.com/category/engineering?type=graduate","Estate Officer
                              
                                
                                  
                                    
                                      VISVA BHARATI UNIVERSITY(VBU)                                    
                                
                              
                              
                                
                                   Unlock Now","https://jobyaari.com/jobdetails/2704","VISVA BHARATI UNIVERSITY(VBU)","1","SalaryLevel 7, as per 7th CPC","35","Experience
                                  5+
                  Years","QualificationB.E/B.Tech"
